uri,track,artist,album
spotify:track:0pk1hxhJLBSZZ5RKBhcwOa,Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],"Dua Lipa, Madonna, Missy Elliott, The Blessed Madonna",Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix]
spotify:track:5T490vvoFNU6psep0NPmxs,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat)
spotify:track:2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk)
spotify:track:24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande)
spotify:track:4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion)
spotify:track:0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy)
spotify:track:27ycaQnQAxaPiyeg3nr2aB,Midnight Sky,Miley Cyrus,Midnight Sky
spotify:track:3xvYvJAa0iUVKKsYcuDNlK,Hard On Yourself,"Charlie Puth, blackbear",Hard On Yourself
spotify:track:4nK5YrxbMGZstTLbvj6Gxw,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE
spotify:track:4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U
spotify:track:2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,my future
spotify:track:2gGLpMzoo80A7jGEIr4ou8,Naked,"Jonas Blue, MAX",Naked
spotify:track:11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj)
spotify:track:4Lxseh0wN7N0ljiOh8KwbU,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Come & Go (with Marshmello)
spotify:track:3aA6xB0tOilDDX17fIJ0Bl,Freak,Doja Cat,Freak
spotify:track:5esKpsrB3TbGHwFaAjIGMx,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),"A$AP Ferg, Nicki Minaj, MadeinTYO",Move Ya Hips (feat. Nicki Minaj & MadeinTYO)
spotify:track:3DXdjHnePKnh6oXw2ZgGSl,Smile,Katy Perry,Smile
spotify:track:6nQZG4G0vIrQWaCGbqHCQn,Down,"Arc North, Badjack, Cour",Down
spotify:track:127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,Toosie Slide
spotify:track:4YAg8h8WliHZlW5wuv8Jpk,To Be Young (feat. Doja Cat),"Anne-Marie, Doja Cat",To Be Young (feat. Doja Cat)
spotify:track:7l2RIppRyMQtHI7qQjbZCW,Hate Me,"Besomorph, EQRIC, MØRFI, FJØRA",Hate Me
spotify:track:1UNs8AlFM8c0uAkSyjIW3P,Girlfriend,Charlie Puth,Girlfriend
spotify:track:5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé)
